application_id,vacancy_id,candidate_name,email,phone,current_position,current_company,current_salary,expected_salary,experience_years,education_level,application_date,status,interview_date,feedback,source
44,63,пан Михайло Сірко,uzaichenko@example.com,050 954-47-55,Зоолог,"Яценюк, Карпенко and Лубенець",40564.54,51515.25,15,Середня,2024-06-30,Прийнято,2024-07-12,"Поріг банда адвокат шкарпетка заплакати. Звільнення ремінь поставити білизна конструкція задерти.
Радити байдужий шкільний зображати будівництво. Означати мить пити кидати настати гіркий ґазда.",Work.ua
45,96,Гліб Тичина,zhaliloomelian@example.org,+380 72 911-97-62,Гірник,"Валенко, Вітрук and Влох",40962.11,56882.72,15,Середня,2024-09-06,Нова,,,LinkedIn
46,53,Аарон Аронець,avreliiiaremchuk@example.net,+380 94 735-62-49,Фотограф,Савенко PLC,46590.81,57655.4,3,Бакалавр,2023-07-29,Розглядається,,,Сайт компанії
47,34,Борислав Парасюк,roksolana22@example.org,+380 03 305-20-97,Актор,"Яремків, Вовк and Дзиндра",15117.7,21090.36,1,Середня,2024-09-06,Відхилено,2024-09-12,Камінчик пісня більше. Пропаганда правильний труп дошлий прохід через. Товар кордон затягнутися незвичайний.,Work.ua
48,93,Ростислав Бабʼюк,myron71@example.com,+380 31 440 09 97,Ботанік,Дутка Inc,27617.39,37036.77,11,Бакалавр,2024-01-30,Розглядається,,,Work.ua
49,87,Амалія Теличенко,kostiantyn93@example.org,005 729 96 91,Хореограф,Бабко-Зайченко,34635.28,38743.56,14,Середня,2024-07-30,Пропозиція,2024-08-02,Поставити синок палата торгівля багряний. Услати бажання камінчик простір коробка дружно щур картинка.,Work.ua
50,16,Ірена Рудько,liza36@example.com,025 430-41-26,Футболіст,"Масоха, Оліфіренко and Вергун",36095.26,49446.19,6,Магістр,2024-10-13,Відхилено,2024-10-16,Спосіб нога сумний податковий покинути. Епоха зміна кишеня. Гідність потрясти колишній мимо правильний головка що-небудь.,LinkedIn
51,83,Едуард Василенко,teslenkotrokhym@example.org,+380 44 297-01-32,Намотувальник,Цимбал PLC,11391.98,13455.33,11,Магістр,2023-11-15,Розглядається,,,Інше
52,22,Олександр Петлюра,martyn46@example.net,169-73-32,Графік,"Проценко, Гайдамака and Христенко",29395.16,41217.72,5,PhD,2024-03-25,Розглядається,,,Work.ua
53,34,Худяк Опанас Макарович,lsyrotenko@example.org,+380 (62) 070-83-61,Вчитель,Ємельяненко-Баштан,49185.1,65265.25,11,Середня,2023-07-29,Нова,,,Work.ua
54,41,Христина Лавренко,tsushkoamaliia@example.org,958 86 10,Історик,Корбут Ltd,31028.28,40301.17,10,Середня,2024-01-18,Нова,,,LinkedIn
55,7,Тереза Єфименко,kadeniukielysei@example.com,+380 67 475 38 04,Дизайнер,Савенко-Давимука,14293.5,18327.02,14,Магістр,2024-09-03,Відхилено,2024-09-15,Конференція народ чотири солома кпсс затримати серйозний підлога. Упустити страта казна-хто виконувати.,Work.ua
56,62,Богуслав Чуйко,artembezditko@example.net,+380 50 599-92-23,Круп'є,Лесик PLC,17581.04,19992.47,13,PhD,2024-05-24,Пропозиція,2024-06-04,"Порт сміття хліб нарада деякий тьмяний. Функція доба відділ розгубитися. Танцювати бочок вперед тута боєць.
Увійти висловлюватися каюта. Брову художній ґазда рис диявол.",Work.ua
57,93,Єфрем Корж,amaliia14@example.com,033 192-12-89,Архітектор,Швачка-Журавель,47576.56,53991.93,6,PhD,2024-04-16,Співбесіда,2024-04-24,,Work.ua
58,19,Павло Бандурка,danyliukleopold@example.net,987 97 53,Мікробіолог,"Джус, Деревʼянко and Девдюк",22228.91,32106.26,13,PhD,2023-09-14,Нова,,,Сайт компанії
59,23,пан Степан Оберемко,bohuslava10@example.com,239-42-74,Педагог,Павличенко-Товстуха,20337.78,27868.56,3,Середня,2023-12-11,Розглядається,,,Work.ua
60,77,пан Венедикт Гресь,wpiatachenko@example.com,047 017-60-44,Дипломат,"Салій, Цимбал and Колодуб",48026.44,55717.83,14,Бакалавр,2024-07-12,Розглядається,,,Інше
61,27,Лариса Карпенко,daryna01@example.org,050 643-62-74,Нотаріус,"Нестайко, Абрагамовський and Дробʼязко",27643.06,39314.8,10,Магістр,2024-07-30,Відхилено,2024-08-05,Радити свіжий кидати товар терапія житель нестерпний хлопець. Бажання палата виконувати несподіваний пристрій.,LinkedIn
62,39,Соломія Єфименко,zshylo@example.net,+380 99 646 77 35,Штукатур,"Шовкопляс, Фесенко and Яценюк",48018.78,68409.69,15,PhD,2024-06-28,Пропозиція,2024-07-04,"Казна-Хто дальній холодно гуляти призначити.
Фахівець вітрина прем'єра підлога спасти рис. Постійний тьмяний основа сумний ґудзик. Ґазда видимо командир співрозмовник ковзати рішення червень дорогий.",Сайт компанії
63,53,Георгій Адаменко,pmykytiuk@example.net,041 645 76 69,Прокурор,Рак-Голик,40984.17,46359.65,7,Середня,2023-05-30,Пропозиція,2023-06-10,Насолода покинути мільярд колектив прохід перед. Від'Їзд потягнутися рішення дівка білизна космос навіщо.,Рекомендація
64,4,Валентин Алексеєнко,revaihnat@example.com,018 279-52-64,Педагог,"Ємець, Барабаш and Чуйко",41184.81,45677.66,1,PhD,2024-03-11,Прийнято,2024-03-19,Недолік наполегливо порт заспівати присісти вчений головний. Процес нестерпний очко аж оборот викинути низький. Заспокоїтися вчора заборонити прощення аж. А відповісти метал наполегливо вчора.,Інше
65,70,Ірена Базавлученко,nazar67@example.org,000 726 81 92,Євнух,Фоменко PLC,25224.41,33647.85,14,PhD,2024-05-11,Пропозиція,2024-05-23,Висіти похорон ґудзик заклик ідея застосовуватися роса. Хата наступати й адже слати.,Інше
66,89,Микита Короленко,rostyslav53@example.com,000 934-31-74,Золотар,"Ґжицька, Арсенич and Павличенко",10780.69,14818.37,5,Середня,2024-04-23,Розглядається,,,Інше
67,30,Данило Носаченко,nadiiapylypenko@example.net,+380 28 134-28-08,Провізор,"Зінчук, Ковалюк and Тягнибок",42493.96,59596.32,15,Магістр,2024-10-03,Розглядається,,,Work.ua
68,35,Богдан Чуйко,udarahan@example.com,954 11 63,Дизайнер,Сагаль LLC,49861.19,74010.25,7,PhD,2024-01-15,Розглядається,,,Рекомендація
69,4,Богданна Примаченко,stelmakhokseniia@example.org,064 591-19-49,Професор,Чередник-Харченко,29956.81,36001.04,1,Магістр,2024-01-25,Прийнято,2024-02-07,"Вивести виблискувати мигнути жорстокий видимо лівий космос ґудзик. Дорогий паща кпсс підлога.
Наступати потім поява степ при потягнутися вибирати. Ліловий тривога демократія заспівати сміття.",Сайт компанії
70,100,Володимира Гайда,sheremetahlib@example.net,752-30-91,Мистецтвознавець,Валенко Ltd,47265.05,54645.03,15,PhD,2024-10-31,Співбесіда,2024-11-06,,Рекомендація
71,19,Соломон Деревʼянко,iashchukheorhii@example.net,+380 78 734-83-55,Громадський діяч,"Іващенко, Худобʼяк and Туркало",13943.2,18793.59,4,Бакалавр,2023-07-16,Пропозиція,2023-07-27,"Їжа відділ ремінь досліджено хід висіти.
Міф метал написати настати багаття вибирати. Польовий хліб увійти дівка.
Мільярд різноманітний вечір конференція мʼята.",Рекомендація
72,91,Оксана Іваничук,hhuzenko@example.org,130 23 46,Професор,Саєнко Inc,37269.02,50436.36,3,Бакалавр,2023-03-02,Прийнято,2023-03-11,За будівництво космос черговий теорія колектив. Актриса боєць запустити князь інший банк насолода. Щось сміття неправда армійський.,LinkedIn
73,49,Мілена Гайворонська,arsenkhmara@example.com,+380 39 553 14 80,Стиліст,"Влох, Малик and Чубай",37211.89,53975.52,9,PhD,2024-11-03,Відхилено,2024-11-11,"Багряний покидати за демократія. Викинути зображати трясти близько.
Каюта очко пастух. Єдиний низький гуляти хліб м'який іспит. Розгубитися хлопець видимо тута підкинути шкарпетка поріг.",Інше
74,60,Малишко Еріка Микитівна,hunkooleh@example.com,069 798-87-66,Епідеміолог,Свириденко-Усик,23688.25,35348.94,6,Бакалавр,2024-11-10,Пропозиція,2024-11-15,Встати казна-хто їжа пристрій. Можливо небезпека підлога рішення. Потім наштовхнутися діловий гіркий степ товар що чоловічок.,Рекомендація
75,8,Владислав Верхола,mzatovkaniuk@example.org,+380 (19) 050-58-42,Швачка,"Макогон, Ковалюк and Чубай",42307.19,60986.85,11,PhD,2024-05-02,Розглядається,,,Рекомендація
76,90,Данило Лесик,semenchenkobohdan@example.com,+380 89 212-29-79,Історик,Михайличенко Ltd,18707.64,24578.34,6,Магістр,2023-10-29,Прийнято,2023-11-05,Неправда метал через плід колектив спорт. Правий керівник яблуко виражений недолік бажання вчора програміст.,Інше
77,74,Марко Шинкаренко,dzhusartem@example.org,+380 67 558 91 49,Психолог,Симоненко-Гайдамака,24006.37,34765.96,14,PhD,2023-12-22,Розглядається,,,LinkedIn
78,90,Чорновіл Ярослава Захарівна,iryna73@example.com,719-94-80,Паблік рилейшнз,Чубай Ltd,17734.21,26096.9,3,Магістр,2024-11-08,Прийнято,2024-11-18,Програміст валюта бак. Сміятися насолода сміятися засунути.,LinkedIn
79,26,Варвара Бакуменко,hermanieremenko@example.org,+380 26 661-21-08,Кушнір,Корж Group,15341.75,22615.83,12,Середня,2024-12-15,Прийнято,2024-12-24,Заборонити природа мати що-небудь неправда недолік ленінград. Супроводжуватися розкішний друкувати заява розстебнути валюта. Досліджено склянка угодний перед порода п'ятеро настати.,Інше
80,51,Емілія Артюх,zhaivoronorysia@example.org,773 87 32,Професор,Бгиденко Inc,22344.58,27803.67,13,Магістр,2024-06-04,Співбесіда,2024-06-10,,Сайт компанії
81,39,Макар Адамчук,anton43@example.net,018 183 09 98,Лікар,"Бараник, Вівчаренко and Іщак",11400.93,14298.92,13,Бакалавр,2024-12-21,Розглядається,,,Work.ua
82,28,Богодар Дахно,volodymyr23@example.net,+380 87 271-24-70,Географ,Чуйко-Онищенко,26759.71,35697.69,13,PhD,2024-03-07,Співбесіда,2024-03-17,,Інше
83,83,Сомко Ярослава Лесівна,ivan16@example.net,+380 20 257-28-14,Машиніст,Козак-Ващенко,45690.15,67296.0,12,PhD,2024-02-29,Відхилено,2024-03-13,Струмок кора новий більше здригатися.,Рекомендація
84,39,Панас Журавель,gpustovit@example.net,+380 09 455-07-13,Письменник,Чуйко PLC,44673.81,56597.45,10,Бакалавр,2024-03-07,Відхилено,2024-03-18,Адвокат близько перетнути природний кільце новий бригада. Монета забирати сміливий танцювати другий. Розвернутися склянка фахівець тута.,Інше
85,89,Алевтин Коваленко,aaronbashpolchenko@example.com,049 124-64-32,Економіст,Козак and Sons,43696.33,54016.68,10,Середня,2024-02-25,Прийнято,2024-02-29,Незручно мотоцикл польовий розводити в'язниця вечір паща. Лівий похорон очко порт багряний купа соціалістичний радити.,Інше
86,54,Ада Архимович,vernydubsvitlana@example.com,+380 46 740 38 57,Електротехнік,"Ковпак, Яремчук and Баштан",25975.25,32371.36,0,Середня,2024-01-24,Співбесіда,2024-01-27,,Рекомендація
87,51,Удовенко Василь Віталійович,emiliia73@example.com,+380 46 487-76-02,Золотар,Титаренко-Баклан,38874.8,56033.88,0,Середня,2024-05-27,Прийнято,2024-05-31,"Армійський процес благати зрідка. Брову колишній червень.
Передо плавно правління функція матерія співати сходити. Мить виражений нині ґаздиня деякий.",Сайт компанії
88,11,Ростислав Микитюк,zynovii75@example.com,+380 56 366 00 71,Різноробочий,Їжакевич-Рябошапка,33491.84,50151.74,8,Бакалавр,2024-12-27,Прийнято,2025-01-03,Зрідка тисяча виражений. Передо затримати пісенька щось багряний при райком.,Рекомендація
89,12,Григорій Єрьоменко,iosyp54@example.com,507 26 23,Лікар,Жайворон-Теліженко,14282.24,20821.86,8,PhD,2023-05-31,Прийнято,2023-06-07,"Нарада повністю радити означати. Домогтися простір поріг заспівати інвалід спасти єврейський. Ніч звільнити термін.
Єврейський шкільний синок радити банда розуміти струмок. Степ який ліворуч.",LinkedIn
90,89,Лариса Назаренко,udanylenko@example.net,+380 72 681-88-76,Ді-джей,"Яценюк, Царенко and Засядько",33917.6,49153.92,8,Середня,2024-05-05,Нова,,,Рекомендація
91,23,пан Олександр Рябець,ielysavetahodunok@example.org,076 217 21 59,Сантехнік,Вакуленко Ltd,10665.72,13250.43,6,Бакалавр,2024-12-15,Пропозиція,2024-12-21,"Доба каюта ланцюжок спасти. Єврейський взагалі простір плавно низький.
А шкарпетка приятель мигнути аж засунути армійський. Правильний прощення більше.",LinkedIn
92,56,Леопольд Іваничук,eibozhenkosolomiia@example.net,621-42-12,Доцент,Артюшенко PLC,49450.16,61789.66,3,PhD,2024-10-19,Прийнято,2024-10-24,Інфекція взагалі підлога черговий. Ґудзик космос грати зловити коваль. Рідкий уникати ніч неправда.,Сайт компанії
93,89,Розалія Гузь,iiarosh@example.com,+380 (42) 913-14-74,Мікробіолог,Архипенко Group,17227.17,25305.31,14,Бакалавр,2024-02-06,Співбесіда,2024-02-13,,Рекомендація
94,19,Вертипорох Веніямин Лукʼянович,ieroshenkoiustyna@example.net,+380 00 408 40 39,Нотаріус,Ажажа Inc,19358.92,23192.05,6,Середня,2023-08-19,Нова,,,Рекомендація
95,92,Едита Пустовіт,sviatoslavprytula@example.com,038 983-10-94,Випробувач,"Джунь, Чала and Лемешко",11838.46,15013.64,13,Середня,2024-12-18,Розглядається,,,Інше
96,82,Ярослава Базилевич,sirchenkoiakiv@example.org,+380 90 329 83 01,Науковець,Стець-Худяк,10526.67,15010.23,3,PhD,2023-10-20,Розглядається,,,LinkedIn
97,35,Данна Рубець,panteleimon73@example.org,030 261-33-14,Будник,Кириленко LLC,38774.89,47977.6,0,Середня,2023-12-28,Відхилено,2024-01-05,Другий провал свіжий покоління вчора століття знаходити. Даль правління рис гіркий вовк чітко. Неправда торгівля висіти легко торгівля розвернутися.,Інше
98,83,Еріка Таран,bevzenkoadam@example.com,+380 (82) 362-86-90,Диригент,"Чорновіл, Рябченко and Дерегус",34394.64,44310.54,6,Середня,2024-10-27,Співбесіда,2024-11-10,,Сайт компанії
99,8,Розалія Вакуленко,vladyslavmoskal@example.org,800-65-35,Візажист,Бакуменко Inc,16409.07,20431.7,13,Бакалавр,2024-05-07,Нова,,,Сайт компанії
100,19,Засуха Веніямин Володимирович,orkhyplupii@example.org,049 594 00 82,Краєзнавець,Бездітко and Sons,26468.08,39263.97,5,PhD,2023-07-31,Відхилено,2023-08-14,Що-Небудь поява правління. Покидати художній й каюта порада тьмяний танцювати. Правий командир підкинути мить польовий вечір правий інтернет.,Інше
101,7,Данило Даньків,nruban@example.net,+380 06 026-32-32,Няня,Дубас Inc,15815.8,23621.66,8,Бакалавр,2024-09-20,Прийнято,2024-09-27,"Вивчити суглоб валюта гіркий.
Вечір червень мʼята помовчати. Коричневий синок правий кидати.",Сайт компанії
102,94,Володимира Гавриш,wlukash@example.net,259-96-16,Кінокритик,"Чарниш, Андрусенко and Деркач",32785.37,38405.41,5,PhD,2024-09-17,Розглядається,,,LinkedIn
103,60,добродій Віктор Шутько,svitlanavasylechko@example.net,552-08-05,Актор,Петлюра-Кащенко,38402.16,51847.48,1,Бакалавр,2024-12-24,Співбесіда,2025-01-02,,Інше
104,65,Феофан Зайченко,rhabelko@example.com,028 585-05-08,Краєзнавець,Проценко-Черненко,48166.26,58518.32,6,Магістр,2024-02-03,Пропозиція,2024-02-07,"Поставити небезпека шкіра.
Райком інший функція домогтися. Так жорстокий хлопчисько картинка актриса нині тривога.",Work.ua
105,70,Едита Чміль,iiemelianenko@example.com,+380 (74) 321-10-70,Географ,Гаврилишина-Данильчук,41490.32,56570.34,6,Бакалавр,2024-05-27,Відхилено,2024-06-03,Потім коричневий пристрасть дружно зображати. Бажання неправда заспокоїтися пити рідкий. Коричневий актриса князь сміливий їжа. Багаття солома провал падаль гідність шкіра.,Рекомендація
106,46,Тарас Александренко,lesandriienko@example.net,+380 94 374 73 33,Кінорежисер,Гриценко-Бабʼюк,42395.14,51070.06,2,Бакалавр,2024-02-03,Відхилено,2024-02-06,"Тисяча нині знищення конференція каюта палець суглоб.
Космос запустити триста мить. Пристрій бочок соціалістичний валюта програміст розвернутися прихований деякий.",LinkedIn
107,55,Віолетта Олійник,fdeineko@example.net,+380 08 328 69 49,Економіст,"Корпанюк, Франчук and Уманець",34735.3,49819.45,8,PhD,2024-06-04,Розглядається,,,Інше
