logistics_id,transport_date,transport_type,destination_type,related_id,distance_km,fuel_consumption,transport_cost,driver_name,vehicle_number,start_time,estimated_arrival,actual_arrival,status
25,2024-06-12,Мікроавтобус,Постачальник,631,605,10.34,1004.26,Хома Гресь,AA4393AA,2024-06-12 06:00:00,2024-06-12 16:05:00,2024-06-12 15:41:32.866938,Заплановано
26,2024-05-11,Вантажівка,Виробництво,222,994,16.72,768.69,Єлисей Аврамчук,AA1273AA,2024-05-11 02:00:00,2024-05-11 18:34:00,2024-05-11 18:12:44.703878,Заплановано
27,2024-07-02,Мікроавтобус,Постачальник,1176,7,10.69,3681.83,Андрій Фартушняк,AA3569AA,2024-07-02 14:00:00,2024-07-02 14:07:00,2024-07-02 14:10:44.943865,Заплановано
28,2024-06-30,Легковий автомобіль,Склад,1491,637,11.03,1645.14,пан Олекса Єрченко,AA6636AA,2024-06-30 18:00:00,2024-07-01 04:37:00,2024-07-01 05:39:37.025859,Доставлено
29,2024-05-27,Фура,Склад,160,134,16.28,1635.94,Аліна Василенко,AA2499AA,2024-05-27 19:00:00,2024-05-27 21:14:00,2024-05-27 23:13:30.247089,Заплановано
30,2024-08-20,Фура,Виробництво,930,51,7.54,2549.94,пані Ірена Шиян,AA5212AA,2024-08-20 07:00:00,2024-08-20 07:51:00,2024-08-20 09:09:26.425131,В дорозі
31,2023-01-18,Вантажівка,Виробництво,1287,59,14.22,1253.06,Ірина Кабалюк,AA5453AA,2023-01-18 12:00:00,2023-01-18 12:59:00,2023-01-18 12:59:33.652050,Заплановано
32,2023-07-04,Легковий автомобіль,Склад,197,268,11.94,4810.95,добродійка Олена Бандера,AA1271AA,2023-07-04 22:00:00,2023-07-05 02:28:00,2023-07-05 06:05:48.859918,Затримка
33,2023-10-16,Легковий автомобіль,Склад,671,933,18.74,1867.96,Ірена Авраменко,AA3900AA,2023-10-16 13:00:00,2023-10-17 04:33:00,2023-10-17 05:30:11.428919,Доставлено
34,2023-03-29,Фура,Виробництво,139,152,6.68,3116.45,Вікторія Колесниченко,AA1225AA,2023-03-29 15:00:00,2023-03-29 17:32:00,2023-03-29 18:03:38.746044,В дорозі
35,2024-08-14,Мікроавтобус,Виробництво,504,193,8.17,4602.41,Тетяна Асаула,AA8913AA,2024-08-14 04:00:00,2024-08-14 07:13:00,2024-08-14 07:37:11.611728,Заплановано
36,2023-02-10,Мікроавтобус,Виробництво,1438,462,21.71,3688.39,Адам Андріїшин,AA6120AA,2023-02-10 21:00:00,2023-02-11 04:42:00,2023-02-11 06:17:33.629270,Заплановано
37,2023-08-17,Вантажівка,Клієнт,996,201,14.75,4110.02,Арсен Оліфіренко,AA9980AA,2023-08-17 21:00:00,2023-08-18 00:21:00,2023-08-18 03:56:33.503396,Затримка
38,2024-02-01,Легковий автомобіль,Виробництво,290,233,18.66,2490.53,Галина Артюх,AA8623AA,2024-02-01 11:00:00,2024-02-01 14:53:00,2024-02-01 17:37:07.598881,Затримка
39,2023-03-04,Мікроавтобус,Склад,1214,9,5.28,1318.41,добродій Микита Ковпак,AA8679AA,2023-03-04 10:00:00,2023-03-04 10:09:00,2023-03-04 11:38:59.413888,В дорозі
40,2024-03-26,Фура,Постачальник,1184,375,27.05,1037.56,пан Ярема Чалий,AA1366AA,2024-03-26 16:00:00,2024-03-26 22:15:00,2024-03-27 01:20:50.293252,Затримка
41,2023-05-14,Вантажівка,Склад,110,666,22.32,2024.39,Марко Скирда,AA8338AA,2023-05-14 15:00:00,2023-05-15 02:06:00,2023-05-15 03:09:34.950142,Доставлено
42,2024-01-29,Мікроавтобус,Виробництво,1481,128,29.36,4120.08,Орест Журба,AA7200AA,2024-01-29 06:00:00,2024-01-29 08:08:00,2024-01-29 08:48:17.685910,Заплановано
43,2023-10-05,Мікроавтобус,Виробництво,1489,757,15.16,3324.5,Василина Венгринович,AA5133AA,2023-10-05 10:00:00,2023-10-05 22:37:00,2023-10-06 00:33:00.251060,Заплановано
44,2024-08-02,Мікроавтобус,Клієнт,119,385,7.95,3993.98,Ліза Іванченко,AA3782AA,2024-08-02 20:00:00,2024-08-03 02:25:00,2024-08-03 02:57:28.760876,В дорозі
45,2023-10-21,Мікроавтобус,Клієнт,409,356,5.79,2146.51,Одарка Христич,AA4943AA,2023-10-21 11:00:00,2023-10-21 16:56:00,2023-10-21 18:11:41.151756,В дорозі
46,2024-09-16,Легковий автомобіль,Постачальник,111,463,9.89,2203.76,Захарченко Варвара Трохимівна,AA7225AA,2024-09-16 09:00:00,2024-09-16 16:43:00,2024-09-16 18:33:37.085177,Заплановано
47,2023-01-18,Фура,Постачальник,1255,48,26.39,1303.23,Ліза Андрієвич,AA6894AA,2023-01-18 00:00:00,2023-01-18 00:48:00,2023-01-18 03:26:07.838276,Затримка
48,2023-05-19,Вантажівка,Постачальник,1437,898,9.45,2875.23,Азар Цюпа,AA9647AA,2023-05-19 16:00:00,2023-05-20 06:58:00,2023-05-20 08:47:46.932459,Доставлено
49,2023-08-25,Вантажівка,Виробництво,80,586,20.62,3416.31,Лілія Цюцюра,AA7107AA,2023-08-25 17:00:00,2023-08-26 02:46:00,2023-08-26 02:52:41.980629,Заплановано
50,2024-11-25,Мікроавтобус,Клієнт,110,813,17.42,4734.45,Альберт Заєць,AA9913AA,2024-11-25 11:00:00,2024-11-26 00:33:00,2024-11-26 00:17:35.487690,В дорозі
51,2024-02-29,Вантажівка,Склад,1333,941,8.97,4234.21,Оксенія Бараник,AA1340AA,2024-02-29 09:00:00,2024-03-01 00:41:00,2024-03-01 02:39:16.827510,Заплановано
52,2023-06-14,Фура,Клієнт,236,417,26.74,3701.83,пані Оксана Засуха,AA6256AA,2023-06-14 19:00:00,2023-06-15 01:57:00,2023-06-15 03:41:46.978486,Заплановано
53,2023-04-06,Фура,Клієнт,182,189,7.42,4846.21,Христина Байда,AA4246AA,2023-04-06 06:00:00,2023-04-06 09:09:00,2023-04-06 09:35:13.862831,Заплановано
54,2024-11-01,Мікроавтобус,Склад,226,190,26.28,2543.93,Микита Гузенко,AA5735AA,2024-11-01 01:00:00,2024-11-01 04:10:00,2024-11-01 04:22:21.699617,В дорозі
55,2024-12-28,Мікроавтобус,Склад,349,989,15.42,2244.23,добродій Миколай Бабійчук,AA3422AA,2024-12-28 22:00:00,2024-12-29 14:29:00,2024-12-29 18:31:54.836449,Затримка
56,2024-05-07,Вантажівка,Виробництво,764,196,28.58,1845.64,Валентин Жайворон,AA9379AA,2024-05-07 02:00:00,2024-05-07 05:16:00,2024-05-07 06:27:09.590790,Заплановано
57,2024-09-20,Вантажівка,Склад,168,434,23.39,4014.9,Аніта Гречаник,AA7703AA,2024-09-20 03:00:00,2024-09-20 10:14:00,2024-09-20 10:39:18.358603,В дорозі
58,2023-11-06,Вантажівка,Постачальник,1396,913,26.34,4084.49,Вишняк Василина Вʼячеславівна,AA7475AA,2023-11-06 16:00:00,2023-11-07 07:13:00,2023-11-07 10:15:17.428634,Затримка
59,2024-06-02,Мікроавтобус,Постачальник,278,836,20.09,3462.8,Венедикт Акуленко,AA2409AA,2024-06-02 05:00:00,2024-06-02 18:56:00,2024-06-02 22:40:44.095682,Затримка
60,2023-05-13,Мікроавтобус,Виробництво,1081,281,20.34,612.49,Юхим Микитюк,AA8682AA,2023-05-13 16:00:00,2023-05-13 20:41:00,2023-05-14 00:50:19.459730,Затримка
61,2024-09-14,Фура,Постачальник,918,127,7.98,1188.14,Яків Дейсун,AA9470AA,2024-09-14 08:00:00,2024-09-14 10:07:00,2024-09-14 10:25:29.743763,В дорозі
62,2024-12-02,Легковий автомобіль,Клієнт,198,714,18.97,4500.79,Орест Токар,AA6927AA,2024-12-02 18:00:00,2024-12-03 05:54:00,2024-12-03 07:26:49.488396,Доставлено
63,2023-06-02,Легковий автомобіль,Клієнт,217,85,12.66,1358.12,Ліза Супруненко,AA4411AA,2023-06-02 21:00:00,2023-06-02 22:25:00,2023-06-02 23:48:17.886290,Доставлено
64,2024-04-28,Мікроавтобус,Постачальник,1020,29,11.8,679.63,Валентина Шахрай,AA4288AA,2024-04-28 06:00:00,2024-04-28 06:29:00,2024-04-28 07:07:10.947884,Заплановано
65,2024-01-06,Легковий автомобіль,Склад,980,529,29.41,1668.83,Людмила Юрчук,AA6662AA,2024-01-06 17:00:00,2024-01-07 01:49:00,2024-01-07 01:52:13.146168,Доставлено
66,2024-06-04,Легковий автомобіль,Постачальник,1169,544,28.25,3964.26,пан Єфрем Цюцюра,AA4434AA,2024-06-04 12:00:00,2024-06-04 21:04:00,2024-06-04 20:44:32.637093,Заплановано
67,2023-03-25,Мікроавтобус,Склад,1065,274,9.69,1968.14,Марія Гук,AA2483AA,2023-03-25 11:00:00,2023-03-25 15:34:00,2023-03-25 16:09:12.586604,В дорозі
68,2023-04-10,Легковий автомобіль,Постачальник,916,69,10.21,3918.44,Пармен Байда,AA1492AA,2023-04-10 00:00:00,2023-04-10 01:09:00,2023-04-10 03:53:34.085276,Затримка
69,2024-11-21,Легковий автомобіль,Виробництво,132,817,19.78,2404.61,Олена Фурс,AA4459AA,2024-11-21 18:00:00,2024-11-22 07:37:00,2024-11-22 09:26:25.981239,Заплановано
70,2023-10-13,Легковий автомобіль,Склад,1302,28,20.2,2701.05,пан Левко Данильчук,AA6934AA,2023-10-13 00:00:00,2023-10-13 00:28:00,2023-10-13 04:34:46.531193,Затримка
71,2023-11-07,Мікроавтобус,Постачальник,97,18,23.78,1102.87,Георгій Бездітко,AA8383AA,2023-11-07 22:00:00,2023-11-07 22:18:00,2023-11-07 23:13:28.208072,Доставлено
72,2024-09-08,Вантажівка,Виробництво,316,785,19.25,4368.49,Камілла Шиян,AA3898AA,2024-09-08 19:00:00,2024-09-09 08:05:00,2024-09-09 10:35:49.087747,Затримка
73,2024-11-03,Легковий автомобіль,Клієнт,573,331,13.81,662.93,добродійка Роксолана Кабаненко,AA9192AA,2024-11-03 10:00:00,2024-11-03 15:31:00,2024-11-03 16:27:11.574489,В дорозі
74,2023-04-06,Легковий автомобіль,Склад,985,919,29.15,2909.64,Хома Стельмах,AA3498AA,2023-04-06 17:00:00,2023-04-07 08:19:00,2023-04-07 09:49:30.536764,В дорозі
75,2023-08-06,Мікроавтобус,Постачальник,871,987,24.31,4003.43,Сергій Іващенко,AA7549AA,2023-08-06 12:00:00,2023-08-07 04:27:00,2023-08-07 07:00:20.793950,Затримка
76,2024-03-12,Легковий автомобіль,Склад,871,824,14.69,925.95,Рак Єфрем Венедиктович,AA4927AA,2024-03-12 11:00:00,2024-03-13 00:44:00,2024-03-13 01:27:09.776541,Заплановано
77,2024-06-06,Вантажівка,Склад,113,780,28.79,1315.73,Владислав Романчук,AA6324AA,2024-06-06 21:00:00,2024-06-07 10:00:00,2024-06-07 12:57:14.001619,Затримка
78,2024-12-10,Легковий автомобіль,Клієнт,932,261,12.68,2197.39,Аарон Фастенко,AA3211AA,2024-12-10 18:00:00,2024-12-10 22:21:00,2024-12-10 23:11:55.268774,В дорозі
79,2023-09-16,Фура,Клієнт,810,8,24.72,4783.02,Софія Міщенко,AA9965AA,2023-09-16 17:00:00,2023-09-16 17:08:00,2023-09-16 19:45:59.170553,Затримка
80,2023-07-09,Фура,Виробництво,1210,642,18.0,3442.92,Надія Аверченко,AA6090AA,2023-07-09 03:00:00,2023-07-09 13:42:00,2023-07-09 13:43:34.089361,В дорозі
81,2024-07-21,Легковий автомобіль,Клієнт,314,646,29.22,2359.4,добродій Вадим Карпа,AA4545AA,2024-07-21 19:00:00,2024-07-22 05:46:00,2024-07-22 05:36:39.587272,Заплановано
82,2023-04-12,Фура,Постачальник,873,478,27.7,1326.54,Роман Конопля,AA4850AA,2023-04-12 22:00:00,2023-04-13 05:58:00,2023-04-13 07:06:07.923886,Доставлено
83,2024-06-25,Легковий автомобіль,Склад,28,81,15.63,2732.31,Сніжана Терещенко,AA5516AA,2024-06-25 17:00:00,2024-06-25 18:21:00,2024-06-25 17:56:32.511852,Доставлено
84,2023-06-18,Легковий автомобіль,Постачальник,1220,922,13.11,4558.04,Лариса Шеремет,AA7980AA,2023-06-18 16:00:00,2023-06-19 07:22:00,2023-06-19 08:01:14.600130,Заплановано
85,2023-08-08,Мікроавтобус,Склад,846,771,22.26,1519.61,Святослава Забара,AA1133AA,2023-08-08 15:00:00,2023-08-09 03:51:00,2023-08-09 05:22:30.953603,Доставлено
86,2023-01-13,Легковий автомобіль,Клієнт,668,824,22.81,1430.8,Симон Дзюба,AA1363AA,2023-01-13 14:00:00,2023-01-14 03:44:00,2023-01-14 03:33:04.766524,Доставлено
87,2024-08-22,Фура,Клієнт,614,960,17.83,4295.01,Бараник Прохір Борисович,AA1875AA,2024-08-22 20:00:00,2024-08-23 12:00:00,2024-08-23 13:47:27.594169,В дорозі
88,2023-08-20,Фура,Виробництво,865,212,23.91,653.65,Марʼяна Колесниченко,AA9030AA,2023-08-20 21:00:00,2023-08-21 00:32:00,2023-08-21 02:12:18.727175,Заплановано
89,2024-10-14,Легковий автомобіль,Клієнт,279,138,26.8,4650.9,Олена Карпенко,AA1371AA,2024-10-14 12:00:00,2024-10-14 14:18:00,2024-10-14 16:04:32.047073,Доставлено
90,2023-01-21,Фура,Склад,137,693,27.76,2498.91,добродій Василь Скоробогатько,AA7086AA,2023-01-21 23:00:00,2023-01-22 10:33:00,2023-01-22 13:03:16.509274,Затримка
91,2024-07-20,Фура,Постачальник,470,416,22.25,4996.12,Ліза Верховинець,AA6834AA,2024-07-20 19:00:00,2024-07-21 01:56:00,2024-07-21 03:34:05.335206,В дорозі
92,2024-03-27,Фура,Виробництво,1007,328,21.39,1263.32,Марʼяна Удовиченко,AA3447AA,2024-03-27 07:00:00,2024-03-27 12:28:00,2024-03-27 13:50:01.176280,Доставлено
93,2023-04-08,Легковий автомобіль,Постачальник,1234,214,29.31,2886.68,Марія Артюшенко,AA5743AA,2023-04-08 20:00:00,2023-04-08 23:34:00,2023-04-09 01:54:39.388278,Затримка
94,2023-08-13,Фура,Виробництво,176,103,22.11,2308.82,Віталій Артюшенко,AA6675AA,2023-08-13 12:00:00,2023-08-13 13:43:00,2023-08-13 15:51:12.152930,Затримка
95,2024-02-23,Мікроавтобус,Постачальник,80,178,29.5,4724.08,Станіслав Гавриленко,AA1179AA,2024-02-23 22:00:00,2024-02-24 00:58:00,2024-02-24 01:27:15.007561,Доставлено
96,2023-02-10,Фура,Виробництво,508,11,20.14,2481.21,Єлисей Андрусенко,AA5932AA,2023-02-10 19:00:00,2023-02-10 19:11:00,2023-02-10 20:09:46.605510,Заплановано
97,2023-01-15,Легковий автомобіль,Клієнт,85,484,15.21,1924.77,Любов Шовкопляс,AA1081AA,2023-01-15 00:00:00,2023-01-15 08:04:00,2023-01-15 07:53:19.812674,Заплановано
98,2023-08-30,Мікроавтобус,Клієнт,440,527,8.21,742.21,Давид Алексійчук,AA9404AA,2023-08-30 16:00:00,2023-08-31 00:47:00,2023-08-31 01:04:28.196473,Доставлено
99,2023-12-20,Мікроавтобус,Склад,1360,277,17.05,2679.45,Максим Ребрик,AA8868AA,2023-12-20 15:00:00,2023-12-20 19:37:00,2023-12-20 19:55:42.336385,Доставлено
100,2023-07-06,Мікроавтобус,Склад,616,903,5.13,1240.56,Леонід Артим,AA1842AA,2023-07-06 05:00:00,2023-07-06 20:03:00,2023-07-06 21:34:14.285301,Заплановано
101,2024-09-24,Вантажівка,Виробництво,1144,635,21.29,4113.81,Пилип Тесля,AA8482AA,2024-09-24 21:00:00,2024-09-25 07:35:00,2024-09-25 08:56:44.449414,В дорозі
102,2023-05-30,Легковий автомобіль,Склад,1463,162,27.89,3460.59,Мирон Макаренко,AA5586AA,2023-05-30 03:00:00,2023-05-30 05:42:00,2023-05-30 07:27:39.487495,В дорозі
103,2023-11-22,Легковий автомобіль,Склад,1486,982,21.62,1087.6,Геннадій Полтавець,AA5941AA,2023-11-22 12:00:00,2023-11-23 04:22:00,2023-11-23 04:38:17.608603,Доставлено
104,2024-09-11,Мікроавтобус,Клієнт,821,582,9.71,1987.72,Марія Валенко,AA5606AA,2024-09-11 13:00:00,2024-09-11 22:42:00,2024-09-11 23:34:38.111320,В дорозі
105,2023-10-07,Фура,Виробництво,325,709,9.41,2029.29,Орхип Христенко,AA5220AA,2023-10-07 14:00:00,2023-10-08 01:49:00,2023-10-08 02:28:30.266218,Доставлено
106,2023-07-03,Вантажівка,Постачальник,1418,748,10.45,921.59,Назар Данчук,AA1096AA,2023-07-03 22:00:00,2023-07-04 10:28:00,2023-07-04 11:46:16.466159,В дорозі
107,2024-10-29,Мікроавтобус,Постачальник,66,616,10.4,4223.16,пані Мілена Авраменко,AA7049AA,2024-10-29 04:00:00,2024-10-29 14:16:00,2024-10-29 13:58:46.952048,Заплановано
108,2024-08-01,Вантажівка,Клієнт,131,529,9.98,2137.1,Дарина Колодуб,AA9506AA,2024-08-01 13:00:00,2024-08-01 21:49:00,2024-08-01 23:03:37.473788,Заплановано
109,2023-05-09,Легковий автомобіль,Постачальник,186,860,11.77,2676.71,пані Сніжана Гаврилишина,AA3761AA,2023-05-09 21:00:00,2023-05-10 11:20:00,2023-05-10 12:17:40.031687,В дорозі
110,2024-02-29,Вантажівка,Склад,277,737,25.2,3168.1,пані Дарина Канівець,AA3952AA,2024-02-29 19:00:00,2024-03-01 07:17:00,2024-03-01 08:53:05.345218,В дорозі
111,2023-12-24,Легковий автомобіль,Постачальник,656,854,29.67,2992.58,Дарина Гаврилишина,AA6751AA,2023-12-24 19:00:00,2023-12-25 09:14:00,2023-12-25 13:43:22.038336,Затримка
112,2024-01-30,Вантажівка,Виробництво,234,864,6.07,1779.27,Наталія Лубенець,AA6639AA,2024-01-30 12:00:00,2024-01-31 02:24:00,2024-01-31 02:33:18.378258,Заплановано
113,2023-03-02,Легковий автомобіль,Виробництво,1151,306,15.77,818.26,Роксолана Мірошниченко,AA3807AA,2023-03-02 10:00:00,2023-03-02 15:06:00,2023-03-02 16:31:21.767959,Заплановано
114,2023-03-02,Мікроавтобус,Постачальник,910,401,27.43,1982.06,пан Назар Ємельяненко,AA7959AA,2023-03-02 20:00:00,2023-03-03 02:41:00,2023-03-03 07:20:32.736972,Затримка
115,2024-01-01,Легковий автомобіль,Постачальник,336,890,20.88,1340.93,Варвара Макогон,AA2772AA,2024-01-01 09:00:00,2024-01-01 23:50:00,2024-01-02 00:30:37.822932,В дорозі
116,2023-01-30,Легковий автомобіль,Клієнт,401,650,24.3,638.13,Галина Засядько,AA7943AA,2023-01-30 10:00:00,2023-01-30 20:50:00,2023-01-30 21:40:16.851600,Доставлено
117,2024-10-31,Легковий автомобіль,Склад,178,504,5.61,1377.74,Олена Їжакевич,AA4129AA,2024-10-31 23:00:00,2024-11-01 07:24:00,2024-11-01 07:41:54.567111,Доставлено
118,2024-11-20,Легковий автомобіль,Виробництво,1302,310,6.24,3176.75,Геннадій Дубина,AA4887AA,2024-11-20 05:00:00,2024-11-20 10:10:00,2024-11-20 11:24:52.743421,Доставлено
119,2023-06-25,Легковий автомобіль,Виробництво,44,157,9.92,1502.81,Оксана Цушко,AA9967AA,2023-06-25 13:00:00,2023-06-25 15:37:00,2023-06-25 15:52:07.912097,В дорозі
120,2023-08-27,Фура,Виробництво,554,345,10.74,4797.46,Розалія Дацюк,AA9585AA,2023-08-27 01:00:00,2023-08-27 06:45:00,2023-08-27 08:36:38.615622,Заплановано
121,2023-08-12,Вантажівка,Виробництво,675,193,10.68,1209.83,Тимофій Вахній,AA3288AA,2023-08-12 08:00:00,2023-08-12 11:13:00,2023-08-12 14:16:02.310258,Затримка
122,2024-01-01,Вантажівка,Склад,1269,566,8.15,3099.76,Арсен Хорішко,AA9376AA,2024-01-01 17:00:00,2024-01-02 02:26:00,2024-01-02 03:51:03.741102,Доставлено
123,2023-08-17,Вантажівка,Постачальник,965,116,12.18,902.46,Варвара Вдовенко,AA8984AA,2023-08-17 20:00:00,2023-08-17 21:56:00,2023-08-17 22:11:20.938411,Доставлено
124,2023-09-17,Фура,Клієнт,325,677,23.02,4875.63,Вовк Костянтин Іванович,AA5732AA,2023-09-17 06:00:00,2023-09-17 17:17:00,2023-09-17 19:05:50.978860,В дорозі
125,2024-10-13,Фура,Виробництво,1240,240,21.93,2112.24,Віолетта Александренко,AA7393AA,2024-10-13 13:00:00,2024-10-13 17:00:00,2024-10-13 20:13:21.189000,Затримка
126,2023-02-25,Мікроавтобус,Постачальник,1043,175,7.2,2761.1,Алла Шморгун,AA7290AA,2023-02-25 08:00:00,2023-02-25 10:55:00,2023-02-25 11:20:35.817828,В дорозі
127,2024-05-14,Фура,Виробництво,692,179,10.63,4261.16,Софія Ґерета,AA8639AA,2024-05-14 01:00:00,2024-05-14 03:59:00,2024-05-14 05:54:12.130222,Заплановано
128,2024-01-10,Вантажівка,Постачальник,336,661,12.3,1362.34,Михайлина Ємельяненко,AA3368AA,2024-01-10 17:00:00,2024-01-11 04:01:00,2024-01-11 04:54:23.494796,В дорозі
129,2024-09-18,Фура,Склад,657,528,23.34,2853.7,Байдак Станіслав Владиславович,AA3021AA,2024-09-18 07:00:00,2024-09-18 15:48:00,2024-09-18 16:43:35.183713,Заплановано
130,2023-12-19,Мікроавтобус,Постачальник,591,616,6.1,4300.84,Аліна Кибкало,AA3386AA,2023-12-19 12:00:00,2023-12-19 22:16:00,2023-12-19 22:39:29.990047,Доставлено
131,2024-09-27,Легковий автомобіль,Виробництво,577,30,26.96,1573.07,Лариса Супруненко,AA5197AA,2024-09-27 07:00:00,2024-09-27 07:30:00,2024-09-27 09:18:02.387298,Доставлено
132,2024-08-20,Фура,Постачальник,193,375,9.33,1402.85,Варфоломій Шеремет,AA3172AA,2024-08-20 00:00:00,2024-08-20 06:15:00,2024-08-20 06:30:36.253754,Заплановано
133,2023-10-11,Вантажівка,Постачальник,516,557,18.75,3367.24,Леонід Демʼяненко,AA5578AA,2023-10-11 00:00:00,2023-10-11 09:17:00,2023-10-11 10:12:37.366885,Доставлено
134,2024-07-26,Вантажівка,Клієнт,131,831,20.52,1273.27,Анастасія Дубенко,AA9836AA,2024-07-26 00:00:00,2024-07-26 13:51:00,2024-07-26 14:00:41.070584,В дорозі
135,2023-10-17,Легковий автомобіль,Клієнт,602,745,22.45,2268.8,Роман Затула,AA6279AA,2023-10-17 20:00:00,2023-10-18 08:25:00,2023-10-18 09:18:10.436359,В дорозі
136,2023-06-21,Легковий автомобіль,Склад,606,492,11.43,3740.59,Савенко Борис Володимирович,AA6303AA,2023-06-21 19:00:00,2023-06-22 03:12:00,2023-06-22 04:23:24.078428,Доставлено
137,2024-02-06,Фура,Виробництво,818,856,15.12,1362.99,Алексеєнко Степан Ростиславович,AA8322AA,2024-02-06 05:00:00,2024-02-06 19:16:00,2024-02-06 18:50:19.135522,Заплановано
