transaction_id,date,type,debit_account,credit_account,amount,description,reference_id,status,created_by,created_at,approved_by,approved_at,currency,exchange_rate
14,2023-09-18,Закупівля,1200,1000,38724.18,Бажання інтернет чітко дошлий вітати за.,TRX-14,Проведено,Світлана Жайворон,2023-09-18,Ярослава Цісик,2023-09-19 04:00:00,UAH,1.0
15,2023-09-09,Продаж,1000,3000,369326.9568,Продаж товару 5,SALE-244,Відхилено,Лілія Забіла,2023-09-09,Ґоляш Михайлина Несторівна,2023-09-10 06:00:00,UAH,1.0
16,2023-06-11,Зарплата,4100,1000,75790.14,Виплата заробітної плати,TRX-16,Проведено,пан Григорій Терещук,2023-06-11,Варвара Вобла,2023-06-12 00:00:00,UAH,1.0
17,2024-09-26,Ремонт,4400,1000,8550.630000000001,Ремонт обладнання 46,MAINT-367,Відхилено,Данна Чумаченко,2024-09-26,Надія Джунь,2024-09-27 02:00:00,UAH,1.0
18,2023-11-06,Продаж,1000,3000,20332.7946,Продаж товару 84,SALE-643,Відхилено,Перебийніс Златослава Демʼянівна,2023-11-06,пані Одарка Забашта,,UAH,1.0
19,2024-10-31,Ремонт,4400,1000,5240.959999999999,Ремонт обладнання 9,MAINT-142,Відхилено,Галина Бевз,2024-10-31,Аніта Демиденко,2024-10-31 18:00:00,UAH,1.0
20,2023-03-10,Продаж,1000,3000,62982.594399999994,Продаж товару 6,SALE-429,Відхилено,Сергій Вакарчук,2023-03-10,Одарка Мазур,2023-03-11 09:00:00,UAH,1.0
21,2024-03-05,Ремонт,4400,1000,15622.149999999998,Ремонт обладнання 50,MAINT-1,Відхилено,Юстина Твердохліб,2024-03-05,Лілія Ковпак,2024-03-05 15:00:00,UAH,1.0
22,2023-03-22,Комунальні,4200,1000,91038.5,Оплата комунальних послуг,TRX-22,Очікує,Соломія Дзиндра,2023-03-22,Вікторія Чередник,2023-03-22 02:00:00,UAH,1.0
23,2024-05-18,Закупівля,1100,1000,73410.78,Точно художній шолом червʼяк трясти викинути.,TRX-23,Проведено,Євген Жученко,2024-05-18,Гречаник Демид Артемович,2024-05-18 13:00:00,UAH,1.0
24,2024-09-15,Інше,4200,1000,13553.01,Підземний слати чоловічок синок камінчик болото.,TRX-24,Очікує,Альбіна Дашенко,2024-09-15,Богодар Пустовіт,2024-09-16 17:00:00,UAH,1.0
25,2024-10-27,Зарплата,4100,1000,3651.46,Виплата заробітної плати,TRX-25,Очікує,Федір Жайворон,2024-10-27,,2024-10-28 16:00:00,UAH,1.0
26,2024-06-10,Інше,4100,1000,64359.76,Камінчик лапа отже торгівля безпорадний.,TRX-26,Відхилено,Христина Таран,2024-06-10,Емілія Рева,2024-06-10 09:00:00,UAH,1.0
27,2024-09-14,Інше,4300,1000,25446.76,Бажання решітка багаття.,TRX-27,Відхилено,Ростислав Єщенко,2024-09-14,Юхим Матяш,2024-09-15 00:00:00,UAH,1.0
28,2023-04-22,Інше,4500,1000,87795.45,Скинути дівка мотоцикл висловлюватися полюбити.,TRX-28,Очікує,Сніжана Захаренко,2023-04-22,Богодар Алексеєнко,2023-04-22 12:00:00,UAH,1.0
29,2023-02-08,Комунальні,4200,1000,58102.22,Оплата комунальних послуг,TRX-29,Проведено,Юстина Чередник,2023-02-08,Ребрик Вікторія Августинівна,2023-02-09 11:00:00,UAH,1.0
30,2024-07-28,Продаж,1000,3000,96476.9328,Продаж товару 79,SALE-126,Проведено,Віра Їжакевич,2024-07-28,,,UAH,1.0
31,2023-08-22,Ремонт,4400,1000,8234.19,Ремонт обладнання 18,MAINT-343,Проведено,Амалія Дрозд,2023-08-22,Литвин Давид Опанасович,2023-08-22 09:00:00,UAH,1.0
32,2024-03-18,Продаж,1000,3000,25276.3632,Продаж товару 25,SALE-622,Очікує,Абрагамовська Лариса Гаврилівна,2024-03-18,пан Василь Андрієвич,2024-03-19 10:00:00,UAH,1.0
33,2024-03-26,Зарплата,4100,1000,76632.95,Виплата заробітної плати,TRX-33,Відхилено,панна Марія Ковпак,2024-03-26,Вікторія Черненко,2024-03-26 14:00:00,UAH,1.0
34,2023-03-02,Інше,3100,1000,34162.91,Нервово міф матерія фахівець.,TRX-34,Очікує,Єлисей Ковалюк,2023-03-02,Софія Засуха,2023-03-03 18:00:00,UAH,1.0
35,2024-10-29,Зарплата,4100,1000,94277.91,Виплата заробітної плати,TRX-35,Відхилено,Мілена Дробʼязко,2024-10-29,Гаврило Саєнко,,UAH,1.0
36,2024-08-20,Закупівля,1100,1000,22334.52,Пані перетнути щур ґаздиня неправда який.,TRX-36,Очікує,Спас Швайка,2024-08-20,,,UAH,1.0
37,2023-07-08,Комунальні,4200,1000,83656.99,Оплата комунальних послуг,TRX-37,Проведено,Алевтин Гунько,2023-07-08,,2023-07-08 22:00:00,UAH,1.0
38,2024-01-18,Інше,4400,1000,59630.53,Результат ліворуч кора щастя зміна черевик.,TRX-38,Відхилено,Ірина Хмара,2024-01-18,Орина Шаблій,2024-01-18 10:00:00,UAH,1.0
39,2023-02-27,Закупівля,4400,1000,21022.64,Намір соціалістичний солома труп.,TRX-39,Очікує,пан Пармен Авраменко,2023-02-27,,2023-02-27 07:00:00,UAH,1.0
40,2024-04-06,Комунальні,4200,1000,81814.35,Оплата комунальних послуг,TRX-40,Відхилено,Станіслав Бандура,2024-04-06,Микита Габелко,2024-04-07 10:00:00,UAH,1.0
41,2023-12-25,Ремонт,4400,1000,5579.0,Ремонт обладнання 6,MAINT-72,Очікує,Охрім Андрієнко,2023-12-25,Ростислав Опанасенко,2023-12-26 03:00:00,UAH,1.0
42,2023-03-30,Інше,2100,1000,3593.57,Ручка рідкий брову співрозмовник пристрасть.,TRX-42,Очікує,Левко Свистун,2023-03-30,Євген Непорожній,2023-03-31 18:00:00,UAH,1.0
43,2023-11-26,Продаж,1000,3000,535530.3139999999,Продаж товару 76,SALE-835,Очікує,Оксана Чорновіл,2023-11-26,Вишняк Ліза Данівна,2023-11-27 06:00:00,UAH,1.0
44,2024-06-03,Зарплата,4100,1000,1664.05,Виплата заробітної плати,TRX-44,Відхилено,Надія Талан,2024-06-03,Зорян Михайлюк,2024-06-04 13:00:00,UAH,1.0
45,2024-08-21,Ремонт,4400,1000,8739.679999999998,Ремонт обладнання 40,MAINT-938,Відхилено,Михайло Токар,2024-08-21,,2024-08-22 13:00:00,UAH,1.0
46,2023-11-08,Продаж,1000,3000,282144.8541,Продаж товару 84,SALE-393,Проведено,Пилип Онуфрієнко,2023-11-08,,2023-11-09 08:00:00,UAH,1.0
47,2024-07-01,Зарплата,4100,1000,5196.22,Виплата заробітної плати,TRX-47,Проведено,Алла Павлик,2024-07-01,Макар Фоменко,2024-07-01 16:00:00,UAH,1.0
48,2023-05-23,Ремонт,4400,1000,2160.42,Ремонт обладнання 33,MAINT-149,Очікує,Амалія Бабʼюк,2023-05-23,Владислав Забіла,2023-05-23 23:00:00,UAH,1.0
49,2024-09-22,Продаж,1000,3000,16480.094399999998,Продаж товару 92,SALE-819,Очікує,пані Анжела Сагаль,2024-09-22,Емілія Лесик,2024-09-23 22:00:00,UAH,1.0
50,2024-05-26,Зарплата,4100,1000,11989.11,Виплата заробітної плати,TRX-50,Відхилено,Журавель Аарон Петрович,2024-05-26,Георгій Іванченко,2024-05-27 11:00:00,UAH,1.0
51,2024-06-05,Закупівля,4500,1000,61168.28,Колишній монета щось мати аж коваль настати.,TRX-51,Відхилено,Орина Стець,2024-06-05,Тереза Авраменко,2024-06-06 23:00:00,UAH,1.0
52,2023-11-05,Продаж,1000,3000,369978.063,Продаж товару 86,SALE-489,Проведено,Рябченко Ірина Сергіївна,2023-11-05,Орест Шовкопляс,2023-11-06 06:00:00,UAH,1.0
53,2023-03-05,Продаж,1000,3000,19244.385599999998,Продаж товару 90,SALE-834,Очікує,Надія Прокопович,2023-03-05,Станіслав Гаврилюк,2023-03-05 08:00:00,UAH,1.0
54,2024-12-24,Комунальні,4200,1000,73226.39,Оплата комунальних послуг,TRX-54,Очікує,Еріка Баран,2024-12-24,Лукаш Юстина Захарівна,2024-12-25 22:00:00,UAH,1.0
55,2024-08-20,Зарплата,4100,1000,7343.01,Виплата заробітної плати,TRX-55,Проведено,Гайдай Анжела Несторівна,2024-08-20,Бакуменко Святослава Охрімівна,2024-08-20 05:00:00,UAH,1.0
56,2024-09-20,Зарплата,4100,1000,8613.35,Виплата заробітної плати,TRX-56,Проведено,Олена Овчаренко,2024-09-20,Ігнат Хорішко,2024-09-20 18:00:00,UAH,1.0
57,2024-01-13,Продаж,1000,3000,14110.950000000003,Продаж товару 29,SALE-387,Проведено,Алла Вергун,2024-01-13,Щербак Гліб Соломонович,2024-01-13 21:00:00,UAH,1.0
58,2023-08-26,Зарплата,4100,1000,14958.3,Виплата заробітної плати,TRX-58,Відхилено,Ірена Романець,2023-08-26,Леонтій Архипенко,2023-08-26 05:00:00,UAH,1.0
59,2024-03-17,Інше,2000,1000,65502.82,Присісти рот нервово. Єдиний образа болісно.,TRX-59,Очікує,Златослава Рябченко,2024-03-17,пані Амалія Пушкар,2024-03-17 14:00:00,UAH,1.0
60,2023-08-16,Комунальні,4200,1000,25554.09,Оплата комунальних послуг,TRX-60,Проведено,Емілія Доценко,2023-08-16,панна Богуслава Бгиденко,2023-08-17 05:00:00,UAH,1.0
61,2024-06-18,Ремонт,4400,1000,8713.220000000001,Ремонт обладнання 15,MAINT-49,Проведено,Камілла Мазур,2024-06-18,Валентина Захарченко,,UAH,1.0
62,2024-04-09,Комунальні,4200,1000,32804.5,Оплата комунальних послуг,TRX-62,Проведено,Надія Андрієнко,2024-04-09,Ольга Євдокименко,2024-04-09 15:00:00,UAH,1.0
63,2024-03-09,Закупівля,4300,1000,67332.35,Поїзд місце розуміти коробка що ефект дівка.,TRX-63,Очікує,пані Клавдія Андрейко,2024-03-09,Златослава Тичина,,UAH,1.0
64,2024-11-13,Продаж,1000,3000,511549.1327999999,Продаж товару 68,SALE-238,Очікує,Софія Негода,2024-11-13,Ілля Хомик,2024-11-14 17:00:00,UAH,1.0
65,2024-06-04,Продаж,1000,3000,235819.00799999997,Продаж товару 5,SALE-47,Проведено,Гоголь Володимир Іванович,2024-06-04,Руслан Шевченко,2024-06-05 23:00:00,UAH,1.0
66,2023-05-27,Комунальні,4200,1000,50103.6,Оплата комунальних послуг,TRX-66,Очікує,Зиновій Козак,2023-05-27,Едита Деркач,,UAH,1.0
67,2024-11-30,Зарплата,4100,1000,59073.98,Виплата заробітної плати,TRX-67,Очікує,Розалія Гавриленко,2024-11-30,,2024-12-01 16:00:00,UAH,1.0
68,2023-02-18,Закупівля,4000,1000,31104.93,Наполегливо основа при перед.,TRX-68,Очікує,Клавдія Якименко,2023-02-18,пан Давид Башполченко,2023-02-18 23:00:00,UAH,1.0
69,2024-08-12,Зарплата,4100,1000,85475.52,Виплата заробітної плати,TRX-69,Відхилено,Марія Голобородько,2024-08-12,Леон Євтушенко,2024-08-12 20:00:00,UAH,1.0
70,2023-12-26,Закупівля,3000,1000,91045.87,Вчений заклад пісенька гіркий другий радити.,TRX-70,Очікує,Надія Каденюк,2023-12-26,Клавдія Адамчук,2023-12-27 14:00:00,UAH,1.0
71,2023-10-18,Закупівля,1200,1000,44115.22,Число уточнити деякий космос колектив.,TRX-71,Відхилено,Вікторія Матяш,2023-10-18,Богодар Романчук,2023-10-19 10:00:00,UAH,1.0
72,2023-05-01,Закупівля,2000,1000,51250.73,Навіщо встати приятель іспит.,TRX-72,Очікує,добродій Захар Макаренко,2023-05-01,Світлана Ґалаґан,2023-05-02 11:00:00,UAH,1.0
73,2023-12-18,Ремонт,4400,1000,17760.73,Ремонт обладнання 19,MAINT-597,Очікує,пані Марина Височан,2023-12-18,Панас Перебийніс,2023-12-19 21:00:00,UAH,1.0
74,2023-01-07,Ремонт,4400,1000,5194.82,Ремонт обладнання 7,MAINT-528,Проведено,Гузь Соломія Степанівна,2023-01-07,Богуслава Андріїшина,2023-01-07 23:00:00,UAH,1.0
75,2023-09-01,Закупівля,4000,1000,25168.83,Реклама дрібниця який заробити.,TRX-75,Проведено,Мартин Чуприна,2023-09-01,Опанас Карпа,2023-09-01 16:00:00,UAH,1.0
76,2024-02-10,Закупівля,2000,1000,47150.77,Висіти єдиний голубчик теорія.,TRX-76,Проведено,Лариса Бебешко,2024-02-10,Онисим Нестеренко,2024-02-11 02:00:00,UAH,1.0
77,2023-01-14,Інше,2000,1000,81828.4,Вечір червонй спосіб шкарпетка занадто степ.,TRX-77,Очікує,Нестор Стельмах,2023-01-14,Чубай Варфоломій Амвросійович,2023-01-14 18:00:00,UAH,1.0
78,2024-05-24,Ремонт,4400,1000,18016.260000000002,Ремонт обладнання 46,MAINT-866,Відхилено,Олег Лукаш,2024-05-24,Коваленко Пантелеймон Семенович,2024-05-25 07:00:00,UAH,1.0
79,2023-01-01,Закупівля,3100,1000,6035.27,Ніж м'який підлога.,TRX-79,Очікує,Устим Девдюк,2023-01-01,Ростислав Дергач,2023-01-01 22:00:00,UAH,1.0
80,2024-05-30,Закупівля,4000,1000,67412.49,Гроші юний казна-хто комунізм ставити.,TRX-80,Відхилено,Палій Мирон Давидович,2024-05-30,Орина Бгиденко,2024-05-30 01:00:00,UAH,1.0
81,2023-04-02,Інше,4300,1000,35051.15,Упор метал тривога рідкий плавно ніч салон.,TRX-81,Очікує,Дарина Деряжна,2023-04-02,,2023-04-02 16:00:00,UAH,1.0
82,2024-06-28,Ремонт,4400,1000,33158.55,Ремонт обладнання 35,MAINT-102,Очікує,Анжела Шахрай,2024-06-28,Віра Шиян,2024-06-29 02:00:00,UAH,1.0
83,2024-08-10,Комунальні,4200,1000,92428.78,Оплата комунальних послуг,TRX-83,Очікує,Михайлина Вернидуб,2024-08-10,Москаль Алла Михайлівна,2024-08-11 05:00:00,UAH,1.0
84,2023-09-29,Інше,1100,1000,80802.21,Жити зміна один зима знімати єврейський.,TRX-84,Відхилено,Панас Вишиваний,2023-09-29,Ковпак Соломія Симонівна,2023-09-30 21:00:00,UAH,1.0
85,2023-10-29,Продаж,1000,3000,233111.228,Продаж товару 28,SALE-925,Відхилено,Марко Мірошниченко,2023-10-29,Геннадій Вахній,2023-10-29 13:00:00,UAH,1.0
86,2023-07-18,Комунальні,4200,1000,18254.11,Оплата комунальних послуг,TRX-86,Очікує,Сергій Макаренко,2023-07-18,Василь Дахно,2023-07-18 21:00:00,UAH,1.0
87,2024-05-09,Інше,1100,1000,7753.38,Терапія так пристрасть плід.,TRX-87,Відхилено,Надія Ільєнко,2024-05-09,Ліза Андрійович,2024-05-10 10:00:00,UAH,1.0
88,2023-09-14,Ремонт,4400,1000,25216.89,Ремонт обладнання 18,MAINT-681,Очікує,Михайлина Баранець,2023-09-14,Демʼян Давиденко,2023-09-14 12:00:00,UAH,1.0
89,2023-05-22,Закупівля,4100,1000,64543.81,Кора увійти шолом новий.,TRX-89,Очікує,Валентин Баштан,2023-05-22,Варвара Чаленко,2023-05-23 19:00:00,UAH,1.0
90,2024-09-30,Інше,4500,1000,69141.57,Хотіти розуміти мить брову упустити.,TRX-90,Проведено,Розалія Чубай,2024-09-30,Ярослава Франко,,UAH,1.0
91,2023-07-24,Закупівля,4500,1000,71494.77,Діловий банда струмок сумнівний.,TRX-91,Проведено,Климент Таран,2023-07-24,Мілена Рева,2023-07-25 05:00:00,UAH,1.0
92,2023-03-23,Зарплата,4100,1000,30194.37,Виплата заробітної плати,TRX-92,Відхилено,Дарина Верменич,2023-03-23,Еріка Гоголь-Яновська,2023-03-23 22:00:00,UAH,1.0
93,2023-10-02,Інше,1300,1000,68560.62,Ковзати написати хлопчисько червень.,TRX-93,Відхилено,Варвара Сиротенко,2023-10-02,пан Тарас Абрагамовський,2023-10-02 03:00:00,UAH,1.0
94,2023-06-09,Закупівля,4400,1000,10339.26,Терапія при здригатися.,TRX-94,Очікує,Тетяна Єщенко,2023-06-09,Марко Симоненко,2023-06-10 17:00:00,UAH,1.0
95,2024-02-29,Закупівля,1200,1000,81582.95,Застосовуватися червень услати монета хлопчисько.,TRX-95,Відхилено,Богуслав Парасюк,2024-02-29,Бевз Мілена Богуславівна,,UAH,1.0
96,2024-12-15,Ремонт,4400,1000,36876.759999999995,Ремонт обладнання 17,MAINT-346,Проведено,Федір Гавриш,2024-12-15,Богуслава Затула,2024-12-16 14:00:00,UAH,1.0
97,2023-07-30,Продаж,1000,3000,224976.99459999998,Продаж товару 6,SALE-346,Очікує,Аніта Гаврилишин,2023-07-30,Христина Швачка,2023-07-30 10:00:00,UAH,1.0
98,2023-03-07,Продаж,1000,3000,95049.312,Продаж товару 71,SALE-924,Проведено,Розалія Юрченко,2023-03-07,Віра Дубина,2023-03-08 04:00:00,UAH,1.0
99,2023-08-22,Комунальні,4200,1000,73427.05,Оплата комунальних послуг,TRX-99,Відхилено,Ірена Малик,2023-08-22,Кабалюк Панас Вадимович,2023-08-22 04:00:00,UAH,1.0
100,2024-11-22,Закупівля,2000,1000,54574.28,Мотоцикл радість співати байдужий нині термін.,TRX-100,Проведено,Анжела Карась,2024-11-22,Марта Оробець,2024-11-22 13:00:00,UAH,1.0
101,2024-02-11,Інше,1100,1000,89841.93,Казна-Хто ягода вигнати присісти.,TRX-101,Очікує,Святослав Балабан,2024-02-11,Аліна Шинкаренко,2024-02-11 21:00:00,UAH,1.0
102,2024-03-17,Зарплата,4100,1000,38477.53,Виплата заробітної плати,TRX-102,Проведено,Єлисавета Фесенко,2024-03-17,Дарина Романець,2024-03-18 19:00:00,UAH,1.0
103,2023-10-06,Продаж,1000,3000,546833.9079999999,Продаж товару 69,SALE-676,Проведено,Охримович Богданна Орхипівна,2023-10-06,Антон Христенко,,UAH,1.0
104,2023-11-09,Комунальні,4200,1000,60764.22,Оплата комунальних послуг,TRX-104,Очікує,Аліна Жученко,2023-11-09,,2023-11-09 14:00:00,UAH,1.0
105,2023-07-25,Продаж,1000,3000,514134.56640000007,Продаж товару 5,SALE-56,Очікує,Герман Мазур,2023-07-25,Алла Яременко,2023-07-26 17:00:00,UAH,1.0
106,2024-04-12,Закупівля,3000,1000,3381.22,Почуття вітрина правління спорт вчений.,TRX-106,Проведено,Валентин Приходько,2024-04-12,Галина Шинкаренко,2024-04-12 20:00:00,UAH,1.0
107,2023-08-05,Комунальні,4200,1000,63050.92,Оплата комунальних послуг,TRX-107,Проведено,пан Омелян Юхименко,2023-08-05,пан Арсен Павленко,2023-08-06 13:00:00,UAH,1.0
108,2024-05-06,Комунальні,4200,1000,65874.23,Оплата комунальних послуг,TRX-108,Очікує,Макар Скирда,2024-05-06,Демʼян Гук,2024-05-07 13:00:00,UAH,1.0
109,2023-12-12,Зарплата,4100,1000,37344.34,Виплата заробітної плати,TRX-109,Відхилено,Валентина Вакуленко,2023-12-12,Розалія Парасюк,2023-12-13 06:00:00,UAH,1.0
110,2023-06-07,Продаж,1000,3000,440225.39999999997,Продаж товару 17,SALE-555,Проведено,Ірина Бабак,2023-06-07,Мирослав Гук,2023-06-07 13:00:00,UAH,1.0
111,2023-09-30,Інше,1300,1000,31833.39,Сумнівний вчений вираз вираз.,TRX-111,Очікує,Симон Петренко,2023-09-30,Варвара Василенко,2023-09-30 08:00:00,UAH,1.0
112,2024-11-18,Закупівля,1200,1000,22057.11,Заборонити другий вмирати уникати який.,TRX-112,Проведено,Едуард Якименко,2024-11-18,добродійка Володимира Теліженко,,UAH,1.0
113,2023-08-11,Продаж,1000,3000,10447.2072,Продаж товару 25,SALE-962,Відхилено,Віолетта Романець,2023-08-11,Ярина Абрамчук,2023-08-12 15:00:00,UAH,1.0
114,2024-04-06,Ремонт,4400,1000,20833.34,Ремонт обладнання 38,MAINT-187,Очікує,Амвросій Негода,2024-04-06,Емілія Симоненко,2024-04-06 02:00:00,UAH,1.0
115,2024-02-04,Закупівля,4400,1000,90441.22,Природний чоловічок червʼяк набір метелик.,TRX-115,Очікує,пан Болеслав Бабʼяк,2024-02-04,Клавдія Даниленко,,UAH,1.0
116,2024-02-18,Закупівля,3000,1000,84550.36,Правильний пристойний тисяча.,TRX-116,Відхилено,Варвара Данченко,2024-02-18,Тарас Гавриленко,2024-02-18 11:00:00,UAH,1.0
117,2024-06-14,Продаж,1000,3000,279606.081,Продаж товару 82,SALE-395,Відхилено,Віталій Шаблій,2024-06-14,пан Спас Алексюк,2024-06-14 17:00:00,UAH,1.0
118,2024-11-23,Інше,3000,1000,74533.55,Провал інший редактор прелесть.,TRX-118,Проведено,Пріска Копитко,2024-11-23,,2024-11-24 01:00:00,UAH,1.0
119,2024-09-21,Інше,1200,1000,1500.89,Поріг бригада гіркий угодний розстебнути.,TRX-119,Проведено,Онисим Деркач,2024-09-21,Світлана Ейбоженко,2024-09-22 05:00:00,UAH,1.0
120,2024-02-10,Ремонт,4400,1000,3482.91,Ремонт обладнання 15,MAINT-467,Проведено,добродійка Орися Шухевич,2024-02-10,Хома Овсієнко,2024-02-10 23:00:00,UAH,1.0
121,2024-02-01,Зарплата,4100,1000,94843.1,Виплата заробітної плати,TRX-121,Очікує,Трохим Голик,2024-02-01,пан Валерій Михалюк,2024-02-03 00:00:00,UAH,1.0
122,2023-07-26,Комунальні,4200,1000,78274.21,Оплата комунальних послуг,TRX-122,Очікує,Володимир Павленко,2023-07-26,Марʼяна Данилюк,2023-07-27 13:00:00,UAH,1.0
123,2024-02-16,Ремонт,4400,1000,10127.130000000001,Ремонт обладнання 26,MAINT-961,Очікує,Ярема Товстуха,2024-02-16,Олена Бандера,2024-02-18 00:00:00,UAH,1.0
124,2023-04-10,Інше,4400,1000,49781.78,Прелесть забирати диявол намір нарада диявол.,TRX-124,Відхилено,Марʼяна Гоголь-Яновська,2023-04-10,Іван Фаренюк,2023-04-10 12:00:00,UAH,1.0
125,2023-03-30,Ремонт,4400,1000,35774.82,Ремонт обладнання 4,MAINT-601,Очікує,Едуард Венгринович,2023-03-30,Венедикт Гречаник,2023-03-31 16:00:00,UAH,1.0
126,2023-03-28,Ремонт,4400,1000,10519.59,Ремонт обладнання 23,MAINT-280,Очікує,Ліза Савенко,2023-03-28,Тетяна Дутка,2023-03-29 08:00:00,UAH,1.0
127,2024-07-30,Продаж,1000,3000,483497.16800000006,Продаж товару 17,SALE-629,Проведено,Наталія Титаренко,2024-07-30,,2024-07-30 10:00:00,UAH,1.0
128,2024-01-23,Комунальні,4200,1000,8027.26,Оплата комунальних послуг,TRX-128,Відхилено,Хома Чередник,2024-01-23,Марія Гавриленко,2024-01-24 05:00:00,UAH,1.0
129,2024-04-21,Ремонт,4400,1000,14528.130000000001,Ремонт обладнання 30,MAINT-278,Проведено,Аніта Бабак,2024-04-21,Лесь Ващенко-Захарченко,2024-04-22 06:00:00,UAH,1.0
130,2024-10-04,Інше,3000,1000,80127.01,Ремінь зате висіти боєць.,TRX-130,Проведено,Марʼяна Жученко,2024-10-04,Віра Щербань,2024-10-05 19:00:00,UAH,1.0
131,2023-06-19,Інше,2100,1000,92442.35,Досліджено падати блін реклама.,TRX-131,Очікує,Лілія Байрак,2023-06-19,Франц Абраменко,2023-06-19 22:00:00,UAH,1.0
132,2024-06-08,Зарплата,4100,1000,39181.04,Виплата заробітної плати,TRX-132,Проведено,пані Альбіна Рубець,2024-06-08,Мартин Данько,2024-06-09 04:00:00,UAH,1.0
133,2024-12-10,Комунальні,4200,1000,64611.09,Оплата комунальних послуг,TRX-133,Відхилено,Едита Охримович,2024-12-10,Тетяна Шаблій,2024-12-11 08:00:00,UAH,1.0
134,2023-04-21,Продаж,1000,3000,45316.689600000005,Продаж товару 81,SALE-4,Відхилено,пані Едита Непорожній,2023-04-21,Христина Ільєнко,2023-04-21 07:00:00,UAH,1.0
135,2024-01-23,Продаж,1000,3000,220440.1375,Продаж товару 36,SALE-990,Проведено,добродій Тарас Корж,2024-01-23,Богдан Прокопович,2024-01-24 14:00:00,UAH,1.0
136,2024-01-06,Продаж,1000,3000,94241.53199999999,Продаж товару 9,SALE-571,Очікує,Олекса Вакарчук,2024-01-06,Емілія Чала,2024-01-07 09:00:00,UAH,1.0
137,2023-02-13,Зарплата,4100,1000,72349.72,Виплата заробітної плати,TRX-137,Відхилено,Людмила Годунок,2023-02-13,Аліна Зінкевич,2023-02-14 00:00:00,UAH,1.0
138,2023-04-11,Ремонт,4400,1000,32880.4,Ремонт обладнання 24,MAINT-969,Проведено,Вікторія Забашта,2023-04-11,Юстина Ващенко-Захарченко,2023-04-12 05:00:00,UAH,1.0
139,2023-08-07,Комунальні,4200,1000,39697.75,Оплата комунальних послуг,TRX-139,Відхилено,Мазур Валентин Панасович,2023-08-07,,2023-08-07 13:00:00,UAH,1.0
140,2023-06-28,Ремонт,4400,1000,33030.45,Ремонт обладнання 12,MAINT-903,Відхилено,Ольга Скоробогатько,2023-06-28,пан Ростислав Непорожній,,UAH,1.0
141,2024-01-28,Зарплата,4100,1000,40400.03,Виплата заробітної плати,TRX-141,Очікує,Орися Андрощук,2024-01-28,Богуслав Ватаманюк,2024-01-28 02:00:00,UAH,1.0
